Temporada,Date,Home,Away,Goles_Local,Goles_Visitante,Resultado_Texto,Resultado_Num,Attendance,Venue,Referee
2017,2018-02-16,Racing Club,Lanus,3.0,1.0,Victoria,1.0,0.0,Estadio Presidente Juan Domingo Perón,Germán Delfino
2017,2018-02-16,EstudiantesLP,Union,2.0,0.0,Victoria,1.0,0.0,Estadio Centenario Dr. José Luis Meiszne...,Andrés Merlos
2017,2018-02-17,San Lorenzo de Almagro,Newell's Old Boys,1.0,0.0,Victoria,1.0,0.0,Estadio Pedro Bidegaín,Néstor Pitana
2017,2018-02-17,Argentinos Juniors,Atle Tucuman,2.0,2.0,Empate,0.0,0.0,Estadio Diego Armando Maradona,Ramiro López
2017,2018-02-17,Temperley,Independiente,0.0,0.0,Empate,0.0,0.0,Estadio Alfredo Martín Beranger,Diego Abal
2017,2018-02-16,Belgrano,Velez Sarsfield,2.0,2.0,Empate,0.0,0.0,Estadio Mario Alberto Kempes,Nicolás Lamolina
2017,2018-02-18,Arsenal de Sarandi,Huracan,1.0,1.0,Empate,0.0,0.0,Estadio Julio Humberto Grondona,Darío Herrera
2017,2018-02-18,San Martin SJ,TalleresC,1.0,1.0,Empate,0.0,0.0,Estadio Ingeniero Hilario Sánchez,Fernando Rapallini
2017,2018-02-18,River Plate,Godoy Cruz,2.0,2.0,Empate,0.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Jorge Baliño
2017,2018-02-17,Rosario Central,Club Olimpo,5.0,0.0,Victoria,1.0,0.0,Estadio Dr. Lisandro de la Torre,Pedro Argañaraz
2017,2018-02-19,Tigre,Defensa y Justicia,1.0,1.0,Empate,0.0,0.0,Estadio José Dellagiovanna,Patricio Loustau
2017,2018-02-19,Patronato,Chacarita Juniors,3.0,0.0,Victoria,1.0,0.0,Estadio Presbítero Bartolomé Grella,Facundo Tello
2017,2018-02-18,Banfield,Boca Juniors,0.0,1.0,Derrota,-1.0,0.0,Estadio Florencio Solá,Mauro Vigliano
2017,2018-02-19,Colon,GimnasiaLP,1.0,0.0,Victoria,1.0,0.0,Estadio Brigadier General Estanislao Lóp...,Fernando Espinoza
2017,2018-02-23,Club Olimpo,Arsenal de Sarandi,2.0,1.0,Victoria,1.0,0.0,Estadio Roberto Natalio Carminatti,Silvio Trucco
2017,2018-02-23,Huracan,EstudiantesLP,1.0,0.0,Victoria,1.0,0.0,Estadio Tomás Adolfo Ducó,Juan Pompei
2017,2018-02-24,Lanus,Rosario Central,1.0,1.0,Empate,0.0,0.0,Estadio Ciudad de Lanús,Fernando Rapallini
2017,2018-02-24,Defensa y Justicia,Patronato,1.0,0.0,Victoria,1.0,0.0,Estadio Norberto Tito Tomaghello,Darío Herrera
2017,2018-02-24,Velez Sarsfield,River Plate,1.0,0.0,Victoria,1.0,0.0,Estadio José Amalfitani,Mauro Vigliano
2017,2018-02-23,Godoy Cruz,Racing Club,1.0,2.0,Derrota,-1.0,0.0,Estadio Malvinas Argentinas,Hernán Mastrángelo
